Speed,Time To Collision,Obs Width,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
20,999,0,0,2,0,duck_off,-0.010017039363745886
20,999,0,0,2,0,duck_on,-0.10639623652425137
20,999,0,0,2,0,jump,-0.1215934212114062
20,999,0,0,2,0,do_nothing,-0.03322202621442844
20,999,0,0,1,0,do_nothing,-0.07153917075905357
20,999,0,0,1,0,duck_off,-0.04925105808975151
20,999,0,0,-1,0,duck_off,-0.0003607552337010815
20,999,0,0,-1,0,do_nothing,-0.08380786211346547
20,999,0,0,-1,0,duck_on,-0.08193615196449378
20,999,0,0,-1,0,jump,-0.09251884265364817
20,50,5,3,2,0,duck_off,-2.4417555346080952
20,50,5,3,2,0,do_nothing,-2.446841323559333
20,50,5,3,2,0,jump,-0.4890973792393638
20,46,5,3,2,0,duck_on,-0.0020000000000000005
20,37,5,3,1,0,do_nothing,-0.020000000000000004
21,27,5,3,-1,0,do_nothing,-0.2
21,18,5,3,-1,0,duck_off,-2
20,999,0,0,1,0,jump,-0.0901442898470294
20,999,0,0,1,0,duck_on,-0.09711884731563558
20,50,3,2,-1,0,do_nothing,-2.64958301738
20,50,3,2,-1,0,duck_off,-4.004791277199133
20,50,3,2,2,0,duck_off,-2.4464909696213843
20,50,3,2,2,0,do_nothing,-2.3502746667819414
20,48,3,2,2,0,jump,-2.0101290405344936
20,39,3,2,2,0,jump,-1.9243437927708458
20,30,3,2,2,0,duck_off,-1.7793668360000001
20,20,3,2,1,0,duck_off,-0.06695000000000001
20,11,3,2,1,0,do_nothing,-2
20,50,3,1,2,0,jump,-0.17622740150500005
20,50,3,1,1,0,duck_off,-0.018000000000000002
20,50,3,1,2,0,do_nothing,-0.23589965000165042
20,48,3,1,2,0,do_nothing,-0.199667
20,39,3,1,2,0,duck_off,-0.17777800000000002
20,30,3,1,2,0,duck_on,0.7096259998
20,21,3,1,-1,0,jump,-0.2
20,11,3,1,-1,0,jump,-2
20,50,6,3,2,0,jump,-0.2734542755837043
20,50,6,3,2,0,do_nothing,-2.386146083027534
20,50,6,3,2,0,duck_off,-0.3684337997379661
20,50,6,3,1,0,do_nothing,-0.5621458
20,46,6,3,1,0,duck_on,-5.421458000000001
20,37,6,3,-1,0,duck_on,-0.020000000000000004
20,27,6,3,-1,0,jump,-0.2
20,18,6,3,-1,0,duck_on,-2
20,50,5,3,2,0,duck_on,-0.6100797009150204
20,50,5,3,-1,0,do_nothing,-2.57561286073598
20,50,5,3,-1,0,duck_off,-2.4200249414351154
20,47,5,3,2,0,do_nothing,-2.19925069469102
20,38,5,3,2,0,duck_off,-0.19252795618120433
20,29,5,3,2,0,jump,-1.9232664040760066
20,19,5,3,2,0,duck_on,-2.00927
20,10,5,3,1,0,duck_on,-3.8
20,50,5,2,1,0,do_nothing,-1.2713041757646368
20,50,5,2,2,0,duck_on,-2.3713747808954504
20,50,5,2,-1,0,duck_on,-2.71940784943322
20,47,5,2,-1,0,duck_off,-5.42
20,38,5,2,2,0,duck_off,0.49587748829999995
20,29,5,2,2,0,jump,0.10562421816001288
20,19,5,2,2,0,duck_off,-1.8781812199999997
20,10,5,2,2,0,duck_on,-0.0020000000000000005
20,0,5,2,1,0,duck_off,-0.23420000000000002
20,29,5,2,2,0,duck_on,-1.0168380680000002
21,20,5,2,-1,0,duck_on,-2
20,50,6,3,2,0,duck_on,-0.37290033795700217
20,50,6,3,-1,0,do_nothing,-0.31071278
20,50,6,3,-1,0,duck_on,-0.28340721020000004
20,46,6,3,-1,0,duck_on,-2.0018000000000002
20,37,6,3,-1,0,jump,-0.020000000000000004
20,27,6,3,-1,0,do_nothing,-0.2
20,18,6,3,-1,0,do_nothing,-2
20,50,3,2,2,0,duck_on,-0.5121549554891375
20,50,3,2,-1,0,jump,-2.653673688938
20,49,3,2,-1,0,duck_on,-2.0001800000000003
20,39,3,2,-1,0,jump,-2.0018000000000002
20,30,3,2,-1,0,do_nothing,-0.21800000000000003
20,21,3,2,-1,0,jump,-0.2
20,11,3,2,-1,0,jump,-1.5
20,50,6,3,-1,0,duck_off,-2.15341072150655
20,46,6,3,2,0,duck_off,-2.01962
20,37,6,3,2,0,duck_off,0.037200998210256256
20,27,6,3,2,0,duck_off,0.9508080999999999
20,18,6,3,2,0,jump,-2
20,47,5,3,2,0,duck_on,-2.20015118
20,38,5,3,-1,0,duck_off,-2.0180000000000002
20,29,5,3,2,0,do_nothing,-0.38
20,19,5,3,2,0,jump,-1.525
20,50,3,2,1,0,duck_off,-0.38144340403895005
20,50,3,2,2,0,jump,-2.2131354791295847
20,48,3,2,1,0,jump,-0.0020000000000000005
20,39,3,2,1,0,jump,0
20,30,3,2,2,0,do_nothing,-2.0180000000000002
20,20,3,2,2,0,do_nothing,0
20,11,3,2,1,0,duck_off,3.23250965750193
20,1,3,2,1,0,do_nothing,-0.021800000000000007
20,30,3,1,2,0,duck_off,-0.020000000000000004
21,20,3,1,2,0,do_nothing,-0.2
21,10,3,1,2,0,do_nothing,-2
20,50,10,4,2,0,do_nothing,-2.155516026716121
20,50,10,4,2,0,duck_on,-0.7147186078968537
20,50,10,4,-1,0,do_nothing,-4.383866555642
20,50,10,4,-1,0,jump,-2.6840226363537996
20,43,10,4,-1,0,jump,-3.8
20,34,10,4,-1,0,duck_off,-2.0000018
20,25,10,4,2,0,jump,-1.7635891122756524
20,15,10,4,2,0,jump,-0.00022200000000000008
