Speed,Distance,Obs Width,Obs Height,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
60,40,0,0,0,0,0,down,-0.010423455989859956
60,40,0,0,0,0,0,release,-0.00042500262614391597
60,40,0,0,0,0,0,nothing,-0.0005222345897765152
60,40,0,0,0,0,0,up,-0.011110298055033264
60,40,0,0,0,2,0,up,-0.011110411042401524
60,40,0,0,0,2,0,nothing,-0.01111097079093158
60,40,0,0,0,1,0,up,-0.011066002588388833
60,40,0,0,0,1,0,nothing,-0.010273147509349932
60,40,0,0,0,2,0,down,-0.0111003895964192
60,40,0,0,0,1,0,down,-0.010306591553155555
60,40,0,0,0,-1,0,nothing,-0.011063299400051182
60,40,0,0,0,-1,0,up,-0.011056009708791238
60,40,0,0,0,-1,0,down,-0.010304504286885226
61,40,0,0,0,-1,0,nothing,-0.011060980769559112
61,40,0,0,0,-1,0,down,-0.010336404532396693
61,40,0,0,0,-1,0,release,-0.00041216723222102915
61,40,0,0,0,0,0,nothing,-0.00034047297557426967
61,40,0,0,0,0,0,up,-0.011109192991877315
61,40,0,0,0,2,0,nothing,-0.011111018897681662
61,40,0,0,0,2,0,up,-0.011110793392008907
61,40,0,0,0,2,0,down,-0.011090335081979116
61,40,0,0,0,1,0,release,-0.01039742013934107
61,40,0,0,0,1,0,up,-0.010941839340229737
61,40,0,0,0,1,0,nothing,-0.009067800268660563
61,40,0,0,0,-1,0,up,-0.01104840942685498
62,40,0,0,0,0,0,up,-0.010306257985773216
62,40,0,0,0,2,0,nothing,-0.011110859691503001
62,40,0,0,0,2,0,up,-0.011110742730005601
62,40,0,0,0,2,0,down,-0.011089932550049617
62,40,0,0,0,1,0,nothing,-0.008567294373607447
62,40,0,0,0,-1,0,up,-0.011035634535373576
62,40,0,0,0,-1,0,down,-0.010207059824264621
62,40,0,0,0,-1,0,nothing,-0.011053760709766866
62,40,0,0,0,-1,0,release,-0.00039164905337861624
62,40,0,0,0,0,0,nothing,-0.0004622675922763209
62,40,51,105,6,1,0,release,-0.00964672198813378
62,40,51,105,6,1,0,up,-0.010718790061479851
62,40,51,105,6,2,0,down,-0.009791020763383338
63,40,51,105,6,1,0,down,-0.007844472045489085
63,40,51,105,6,-1,0,nothing,-0.008900239439693014
63,40,51,105,6,-1,0,down,-0.005229330695008454
63,40,51,105,6,-1,0,release,-4.488955631964212e-7
63,40,51,105,6,0,0,up,-0.007490603134508681
63,40,51,105,6,2,0,up,-0.008888400676660585
63,37,51,105,6,2,0,up,-0.000050000000000000016
63,33,51,105,6,2,0,down,-0.0005000000000000001
63,28,51,105,6,1,0,nothing,-0.004488902822103131
63,23,51,105,6,1,0,nothing,-0.05
63,18,51,105,6,-1,0,up,-0.5
60,40,0,0,0,-1,0,release,-0.0005354893057600524
61,40,0,0,0,0,0,down,-0.010352990148917456
62,40,0,0,0,1,0,release,-0.00914934738443507
62,40,0,0,0,1,0,up,-0.010905150501069528
62,40,0,0,0,1,0,down,-0.010364056427393964
62,40,0,0,0,0,0,down,-0.01011516945370847
62,40,17,105,3,0,0,up,-0.010971453112980109
62,40,17,105,3,2,0,down,-0.01094464412590721
62,40,17,105,3,1,0,nothing,-0.008904524149372548
62,40,17,105,3,1,0,down,-0.0098849418084916
62,40,17,105,3,-1,0,release,-0.00004045783989761973
62,40,17,105,3,0,0,nothing,-0.000503991126354776
62,40,17,105,3,0,0,down,-0.009345559220028596
62,40,17,105,3,-1,0,nothing,-0.009804763553131996
62,40,17,105,3,-1,0,up,-0.009664502135060383
62,40,17,105,3,-1,0,down,-0.009353962022129176
63,36,17,105,3,0,0,nothing,-0.000049862657011408845
63,31,17,105,3,0,0,nothing,-0.0004818513069126738
63,26,17,105,3,0,0,up,-0.0006865805043846147
63,21,17,105,3,2,0,nothing,-0.004046280433578612
63,16,17,105,3,2,0,down,-0.09427829
63,12,17,105,3,1,0,release,-1.346981
63,7,17,105,3,1,0,up,-1.6146286572826338
63,2,17,105,3,1,0,nothing,0.9992238295517837
63,-3,17,105,3,1,0,nothing,-0.0006749721980762969
63,31,25,90,5,0,0,down,-0.000052141782389214655
63,26,25,90,5,-1,0,release,-0.0011655978019757954
63,21,25,90,5,0,0,nothing,-0.005000000000000001
63,16,25,90,5,0,0,down,-0.7112897555000001
63,11,25,90,5,-1,0,release,-1.355
60,40,0,0,0,1,0,release,-0.010741049278703686
61,40,0,0,0,1,0,down,-0.010395040300689969
62,40,34,105,6,0,0,up,-0.010128809215318238
62,40,34,105,6,2,0,up,-0.010864493387360332
62,40,34,105,6,2,0,down,-0.010915912601758622
62,40,34,105,6,1,0,release,-0.009205298417227087
62,40,34,105,6,1,0,up,-0.0103952422516442
62,40,34,105,6,1,0,nothing,-0.008476757067579202
62,40,34,105,6,0,0,down,-0.010037571411827678
62,40,34,105,6,-1,0,nothing,-0.010299760085696205
62,40,34,105,6,-1,0,down,-0.00909499779358524
62,40,34,105,6,-1,0,up,-0.010706267102532627
62,37,34,105,6,-1,0,down,4.5332397605169395e-7
