Speed,Time To Collision,Obs Gap,Obs Width,Is Jumping,Is Ducking,Obs Above Ground,Action,Q Value
12,999,0,0,0,0,0,jump,-0.09619116935670902
12,999,0,0,1,0,0,duck_on,-0.10423519165271261
12,999,0,0,1,0,0,jump,-0.10584521701401632
12,999,0,0,0,1,0,duck_on,-0.09820416391050403
12,999,0,0,0,1,0,duck_off,0.02341851978446298
12,999,0,0,0,0,0,duck_on,-0.09743173230833593
12,999,0,0,0,1,0,jump,-0.1007952702305446
12,999,0,0,1,0,0,duck_off,-0.09266229896421602
12,999,0,0,1,0,0,do_nothing,-0.08197036750833449
12,999,0,0,0,0,0,do_nothing,0.0223271175992894
12,30,5,3,0,0,0,do_nothing,0.0222222222222202
12,30,5,3,0,0,0,duck_on,-0.15901817517017186
12,30,5,3,0,1,0,do_nothing,-0.054160935738504085
12,30,5,3,0,1,0,duck_on,-0.020000000000000004
12,30,5,3,0,1,0,duck_off,0.46848214176171604
12,25,5,3,0,0,0,jump,0.002
12,15,5,3,1,0,0,do_nothing,0.002
12,6,5,3,1,0,0,jump,0.95
12,-4,5,3,1,0,0,do_nothing,-0.020000000000000004
12,30,6,5,1,0,0,do_nothing,0.3909203978247001
12,21,6,5,0,0,0,duck_off,1.38167476284
12,999,0,0,0,0,0,duck_off,0.022843201589358535
12,30,6,2,0,0,0,jump,0.6106053640301623
12,30,6,2,1,0,0,duck_on,0.6709589188394931
12,30,6,2,1,0,0,duck_off,0.2632445341842334
12,30,6,2,0,0,0,do_nothing,0.031580226018033536
12,30,6,2,1,0,0,jump,1.2167856577012692
12,28,6,2,1,0,0,jump,0.5018
12,999,0,0,0,1,0,do_nothing,-0.10496736436833547
12,30,6,5,0,0,0,duck_off,0.022223855360663874
12,30,6,5,0,0,0,jump,-0.10894990742704679
12,30,6,5,1,0,0,duck_off,0.06038153303913458
12,30,6,5,1,0,0,jump,3.0698322961852105
12,30,6,5,1,0,0,duck_on,-0.16913760948705167
12,24,6,5,1,0,0,do_nothing,0.979301314
12,30,5,2,0,1,0,jump,-0.10090583301109309
12,30,5,2,0,1,0,duck_off,0.9813409327360887
12,30,5,2,0,0,0,do_nothing,0.02222189964951893
12,28,5,2,0,0,0,jump,0.5114709438000001
12,18,5,2,1,0,0,jump,1.7692977102400003
12,9,5,2,1,0,0,duck_off,1.3564782
12,-1,5,2,1,0,0,duck_on,-0.017988924902527105
12,29,6,5,1,0,0,duck_off,1.7816590535956862
12,20,6,5,0,0,0,duck_on,2.089609088003119
12,30,4,1,0,0,0,jump,-0.12931013616358722
12,30,4,1,1,0,0,jump,0.31149968883744616
12,30,4,1,1,0,0,duck_on,-0.13312468329613386
12,30,4,1,0,1,0,do_nothing,-0.05379940795522807
12,30,4,1,0,1,0,jump,0.9174596804168309
12,21,4,1,0,1,0,duck_off,0.5018
12,30,6,3,1,0,0,duck_off,1.5812410364641463
12,30,6,3,0,0,0,jump,-0.08346870663148517
12,30,6,3,1,0,0,do_nothing,-0.1423676958383905
12,30,6,3,1,0,0,duck_on,0.5702578851885737
12,27,6,3,0,1,0,jump,0.002
12,30,5,2,1,0,0,do_nothing,-0.13280155115085546
12,30,5,2,0,0,0,jump,-0.1256223278836917
12,30,5,2,1,0,0,duck_off,0.04309564985396072
12,30,5,2,1,0,0,duck_on,0.19795821148763176
12,29,5,2,0,1,0,jump,0.0040221644260248456
12,30,4,2,1,0,0,duck_on,-0.17873520178870586
12,30,4,2,1,0,0,jump,-0.16081500374084703
12,30,4,2,0,1,0,duck_off,0.8352380438961996
12,30,4,2,0,0,0,duck_on,-0.17983986017669615
12,30,4,2,0,0,0,jump,-0.12988102335903787
12,29,4,2,1,0,0,duck_off,0.9606565070199999
12,19,4,2,1,0,0,jump,0.5049667800000001
12,10,4,2,1,0,0,jump,0.5034580000000001
12,0,4,2,1,0,0,do_nothing,0.002
