velocity,distance,width,jumpVelocity,action,q_value
,,,0,duck,0.9280817484112891
,,,0,do_nothing,0.9649446754716564
,,,0,jump,0.10117321335508876
30,4,17,0,do_nothing,0.8521947221526465
30,4,17,0,duck,0.3374803884265288
30,4,17,0,jump,-0.2949246469775255
30,4,17,-1,duck,-0.5667231831897792
30,4,17,-1,jump,-0.5668831697785143
30,4,17,-1,do_nothing,-0.36292051177816764
30,4,17,1,do_nothing,1.4225025414679844
30,4,17,1,jump,-0.38494634881218937
30,4,17,1,duck,-0.3801810349201733
29,4,17,1,jump,-0.0206513295138505
28,4,17,1,jump,1.0787081558263085
27,4,17,1,jump,-0.028671490000000004
26,4,17,-1,do_nothing,1.159224255605172
25,4,17,-1,do_nothing,0.0971980006817895
24,4,17,-1,duck,0.11962446311616022
23,4,17,-1,do_nothing,0.11357323839476027
21,4,17,-1,duck,2.2907134172629
20,4,17,-1,duck,3.443268713254834
19,4,17,-1,duck,3.366959804265111
17,4,17,-1,do_nothing,2.4434567329175167
16,4,17,-1,duck,0.010000000000000002
15,4,17,-1,duck,2.3878646384036344
14,4,17,-1,jump,4.78440522902496
12,4,17,-1,jump,2.015736859
11,4,17,-1,do_nothing,2.2172108227462877
10,4,17,-1,jump,1.9981000000000002
9,4,17,1,duck,11.395720459399332
7,4,17,1,duck,10.165558649367302
6,4,17,1,duck,11.886202812066031
5,4,17,1,jump,0.019000000000000003
3,4,17,1,duck,8.508953471260359
2,4,17,1,do_nothing,1.1168200000000001
1,4,17,1,do_nothing,9.270845133879618
0,4,17,1,do_nothing,7.534777147628187
-2,4,17,1,do_nothing,-0.04367903392766692
29,6,34,1,do_nothing,-0.0411104116292287
28,6,34,1,jump,0.9543091667304957
28,6,34,1,do_nothing,-0.04944183640374562
26,6,34,1,jump,1.271039269667852
26,6,34,1,duck,-0.02024933346779885
24,6,34,0,jump,1.111807730650541
23,6,34,0,duck,1.0895159790345894
21,6,34,0,do_nothing,1.071956689310543
20,6,34,0,jump,1.064113142401387
19,6,34,0,do_nothing,0.023381371009000004
18,6,34,0,do_nothing,1.453199620541586
17,6,34,0,duck,3.965017038098806
15,6,34,0,do_nothing,5.622796168703209
14,6,34,0,do_nothing,3.703541209686591
13,6,34,0,duck,8.067567061683604
11,6,34,0,jump,7.178889873966718
,,,-1,jump,-0.5897418685884541
,,,-1,do_nothing,-0.693074482941268
,,,-1,duck,-0.6830134433421032
,,,1,jump,-0.3654028842423932
,,,1,duck,-0.3547864369460174
,,,1,do_nothing,-0.09851943693200885
30,3,17,0,duck,0.15642101404221906
30,3,17,0,do_nothing,0.5558232316737542
30,3,17,0,jump,-0.2417735168400853
30,3,17,-1,do_nothing,-0.45175384537510177
30,3,17,-1,jump,-0.4543685497450208
30,3,17,-1,duck,-0.43256123619076015
29,3,17,-1,duck,-0.010000000000000002
28,3,17,-1,jump,-0.010000000000000002
26,3,17,-1,jump,-0.010000000000000002
25,3,17,-1,duck,1.026991
24,3,17,-1,duck,1.2644184802672092
23,3,17,1,do_nothing,3.6459531525520905
21,3,17,1,do_nothing,4.0165869781549
20,3,17,1,duck,4.513181510539
19,3,17,1,do_nothing,2.9879970229
18,3,17,1,do_nothing,1.018081
16,3,17,1,do_nothing,2.9717038000000002
15,3,17,1,do_nothing,2.8177390000000004
14,3,17,1,do_nothing,2.176356781
13,3,17,1,do_nothing,1.0090000000000001
11,3,17,1,jump,4.812576058
10,3,17,1,duck,3.609271
9,3,17,1,do_nothing,1.1953900000000002
30,5,25,0,do_nothing,0.5282090272006981
30,5,25,0,duck,0.325505668105198
30,5,25,0,jump,-0.5496964176503121
30,5,25,-1,duck,-0.7030304325962249
30,5,25,-1,do_nothing,-0.11611757312392307
30,5,25,-1,jump,-0.6942789805272084
29,5,25,-1,duck,-0.07650791303329033
28,5,25,-1,do_nothing,-0.08274807637986943
28,5,25,-1,jump,-0.07786339702305685
26,5,25,-1,duck,-0.023800660624523462
25,5,25,-1,duck,1.210239046864951
24,5,25,-1,duck,2.5322483512042497
22,5,25,1,duck,0.010000000000000002
21,5,25,1,duck,6.389257370689673
20,5,25,1,do_nothing,7.571072777620713
19,5,25,1,do_nothing,10.216982738542248
17,5,25,1,duck,10.313623389867638
16,5,25,1,do_nothing,7.936758380120288
15,5,25,1,do_nothing,8.101938085753336
14,5,25,1,do_nothing,8.674800171206925
12,5,25,1,jump,5.891696373226939
11,5,25,1,do_nothing,8.348476595873384
10,5,25,1,jump,6.1926260618589675
30,5,25,1,do_nothing,-0.5477341834202518
30,5,25,1,duck,2.8964492887625024
30,5,25,1,jump,-0.5409846916472787
29,5,25,0,do_nothing,0.07575094480494902
28,5,25,0,duck,-0.04076045649180222
26,5,25,0,do_nothing,1.0625680088685165
25,5,25,0,jump,1.1448387330031125
23,5,25,-1,do_nothing,3.2242095280171377
22,5,25,-1,jump,2.1986303992595913
21,5,25,-1,do_nothing,0.010000000000000002
20,5,25,-1,jump,3.6435035816808234
19,5,25,-1,do_nothing,4.105026300701412
17,5,25,-1,duck,3.9810367004809715
16,5,25,-1,jump,3.1961673507594934
15,5,25,-1,do_nothing,4.165586758682162
13,5,25,-1,duck,4.4672442849062
12,5,25,-1,jump,5.391076352744136
11,5,25,-1,do_nothing,6.566650321400594
10,5,25,-1,duck,6.89078516295858
8,5,25,1,do_nothing,10.095534673717689
7,5,25,1,duck,10.200790628372323
6,5,25,1,jump,14.468097083075037
5,5,25,1,duck,13.148932721389286
3,5,25,1,duck,14.033394049556017
2,5,25,1,jump,14.303893992190014
1,5,25,1,do_nothing,13.549276030522853
0,5,25,1,do_nothing,13.053525483963181
-1,5,25,1,jump,11.752707697862006
-2,5,25,1,do_nothing,7.9405539737098145
-3,5,25,1,duck,0.6273400010077148
30,6,51,1,jump,-0.49653980861591385
30,6,51,1,duck,-0.4903901847379973
29,6,51,1,duck,-0.06803315783437586
28,6,51,1,duck,-0.06513487821654566
27,6,51,0,do_nothing,-0.04195953060737172
25,6,51,0,do_nothing,-0.010000000000000002
24,6,51,0,do_nothing,1.1736111547905104
23,6,51,0,duck,1.1449226245310162
22,6,51,0,jump,1.1328450485261023
20,6,51,0,jump,0.11513761772540251
19,6,51,0,duck,1.120652137063585
18,6,51,0,duck,1.250534212526319
17,6,51,0,duck,2.881747438506985
15,6,51,0,jump,2.2027212847
14,6,51,0,duck,3.04391583541
13,6,51,0,jump,3.642562518988565
12,6,51,0,duck,5.964641970993793
30,6,34,0,duck,-0.2096501505588589
30,6,34,0,do_nothing,0.9623024582372282
30,6,34,0,jump,-0.6123734148894366
30,6,34,-1,duck,-0.6836270939190601
30,6,34,-1,jump,-0.4253136036463494
30,6,34,-1,do_nothing,-0.6857174577113482
30,6,34,1,duck,0.8081649567572018
30,6,34,1,jump,-0.5300345648007063
30,6,34,1,do_nothing,-0.5302538932392212
28,6,34,1,duck,-0.048184922856955914
27,6,34,1,duck,0.9749761692551943
25,6,34,1,do_nothing,-0.0010000000000000009
23,6,34,1,duck,5.888795761637113
22,6,34,0,jump,0.07072434889597445
16,6,34,0,do_nothing,5.300948160334555
12,6,34,0,duck,5.6832809944600005
