velocity,distance,width,jumpVelocity,action,q_value
"(6.1, None, None, 0)",0.1,False,,jump,0.010000000000000002
6.1,,,-1,jump,0.6631831784915693
6.1,,,-1,do_nothing,0.29771532678209184
6.1,,,1,jump,0.7786043184126717
6.1,,,1,do_nothing,0.34657777591177336
6.2,,,-1,jump,0.6725698223448986
6.2,,,-1,do_nothing,0.2492692756074715
6.2,,,1,do_nothing,0.9296125170764673
6.2,,,1,jump,0.8213623528441995
6.2,,,0,do_nothing,0.5150086297258369
6.2,,,0,jump,0.1487298882388362
6.2,150,17,-1,jump,-0.30358678195042627
6.2,150,17,-1,do_nothing,-0.28265255564129316
6.2,150,17,1,jump,-0.07037088494329001
6.2,150,17,1,do_nothing,-0.06793465209301001
6.3,150,17,1,do_nothing,-0.4994411545873857
6.3,150,17,1,jump,-0.37813650594880255
6.3,150,17,-1,do_nothing,-0.46186062809077616
6.3,150,17,-1,jump,-0.4608469206038871
6.3,144,17,1,do_nothing,0.07114118688370902
6.3,138,17,1,jump,0.027910000000000004
6.3,132,17,1,jump,0.010000000000000002
6.3,132,17,1,do_nothing,0.010000000000000002
6.3,126,17,1,do_nothing,0.045463591000000005
6.3,120,17,1,do_nothing,0.045463591000000005
6.3,114,17,1,do_nothing,0.05410895509000001
6.3,108,17,1,jump,0.036730900000000004
6.3,102,17,1,do_nothing,0.05410895509000001
6.3,96,17,1,jump,0.036730900000000004
6.3,90,17,1,jump,0.027910000000000004
6.3,84,17,1,do_nothing,0.058519850599000015
6.3,84,17,1,jump,0.023740107898519006
6.3,78,17,1,jump,0.036730900000000004
6.3,72,17,0,do_nothing,0.07952977501487192
6.3,66,17,0,jump,0.010000000000000002
6.3,66,17,-1,jump,0.019000000000000003
6.3,60,17,-1,do_nothing,0.07114118688370902
6.3,54,17,-1,do_nothing,0.06266786553910002
6.3,48,17,-1,do_nothing,0.06266786553910002
6.3,42,17,-1,jump,0.036730900000000004
6.3,36,17,-1,jump,0.05410895509000001
6.3,30,17,-1,do_nothing,0.06266786553910002
6.3,30,17,-1,jump,0.011791000000000003
6.3,24,17,-1,do_nothing,0.0878344772647232
6.3,18,17,-1,jump,0.045463591000000005
6.3,12,17,-1,do_nothing,0.03940399000000001
6.3,12,17,-1,jump,0.020611900000000002
6.3,6,17,-1,jump,1.01791
6.3,0,17,-1,jump,-0.010000000000000002
6.3,150,34,-1,do_nothing,-0.045463591000000005
6.3,150,34,-1,jump,-0.04813668100000001
6.3,150,34,1,do_nothing,-0.28765148452591444
6.3,150,34,1,jump,-0.23741371165982153
6.3,146,34,1,jump,0.027910000000000004
6.3,140,34,1,do_nothing,0.045463591000000005
6.3,134,34,1,jump,0.027910000000000004
6.3,128,34,1,do_nothing,0.045463591000000005
6.3,122,34,0,jump,0.010000000000000002
6.3,122,34,-1,jump,0.027910000000000004
6.3,116,34,-1,jump,0.036730900000000004
6.4,110,34,-1,jump,0.019000000000000003
6.4,104,34,-1,do_nothing,0.04900995010000001
6.4,104,34,-1,jump,0.010000000000000002
6.4,96,34,-1,do_nothing,0.027910000000000004
6.4,92,34,-1,jump,0.036730900000000004
6.4,86,34,-1,jump,0.027910000000000004
6.4,80,34,-1,jump,0.09605613249207595
6.4,61,34,-1,do_nothing,0.06266786553910002
6.4,53,34,-1,do_nothing,0.06793465209301001
6.4,53,34,-1,jump,0.010000000000000002
6.4,41,34,1,do_nothing,0.05410895509000001
6.4,32,34,1,do_nothing,0.010000000000000002
6.4,31,34,1,jump,0.027910000000000004
6.4,25,34,1,jump,0.036730900000000004
6.4,20,34,1,jump,0.019000000000000003
6.4,14,34,1,jump,0.036730900000000004
